indi test_time age state gender farm trBVs
f11_22838 208 381 0 F 11 -0.316707553202777
f11_22838 254.8 427.8 0 F 11 -0.316707553202777
f11_22875 84.8 114.8 0 F 11 -0.258524604051042
f11_22909 0 148.5 1 F 11 0.399048253841258
f11_22909 51.8 200.3 1 F 11 0.399048253841258
f11_22909 70.3 218.8 1 F 11 0.399048253841258
f11_22923 51.8 129.1 0 F 11 0.175325272945205
f11_22923 99.3 176.7 0 F 11 0.175325272945205
f11_22937 51.8 104.8 0 F 11 0.870524012100379
f11_22937 80.1 133.1 0 F 11 0.870524012100379
f11_22959 0 28 0 F 11 -0.111289852911681
f11_22959 51.8 79.8 0 F 11 -0.111289852911681
f11_22959 103.8 131.8 1 F 11 -0.111289852911681
f11_22959 155.7 183.7 1 F 11 -0.111289852911681
f11_22959 177.5 205.5 1 F 11 -0.111289852911681
f11_22964 251 126.9 0 F 11 0.453490861899959
f11_22969 0 27 0 F 11 -0.342812528318109
f11_22969 51.8 78.8 0 F 11 -0.342812528318109
f11_22969 77.8 104.8 0 F 11 -0.342812528318109
f11_22989 0 112 0 F 11 0.0178173675892159
f11_22989 51.8 163.8 0 F 11 0.0178173675892159
f11_22989 102.8 214.8 0 F 11 0.0178173675892159
f11_22994 0 94 0 F 11 0.248316755289218
f11_22994 51.8 145.8 0 F 11 0.248316755289218
f11_22994 103.8 197.8 0 F 11 0.248316755289218
f11_22994 155.7 249.7 0 F 11 0.248316755289218
f11_22994 165.8 259.8 0 F 11 0.248316755289218
f11_23001 0 130 0 F 11 -0.530424121570884
f11_23001 2.8 132.8 0 F 11 -0.530424121570884
f11_23007 0 55 0 F 11 0.123479119295955
f11_23007 51.8 106.8 0 F 11 0.123479119295955
f11_23007 103.8 158.8 0 F 11 0.123479119295955
f11_23007 155.7 210.7 0 F 11 0.123479119295955
f11_23007 208 263 0 F 11 0.123479119295955
f11_23007 260 315 0 F 11 0.123479119295955
f11_23008 172 112.3 0 F 11 -0.212365309866976
f11_23017 0 9.3 1 F 11 -0.881102277907689
f11_23017 51.8 61 0 F 11 -0.881102277907689
f11_23017 103.8 113.1 0 F 11 -0.881102277907689
f11_23017 123.4 132.6 0 F 11 -0.881102277907689
f11_23041 260 148.7 0 F 11 1.40661180477498
f11_23047 0 102.5 1 F 11 -0.237048160010067
f11_23047 51.8 154.3 1 F 11 -0.237048160010067
f11_23047 103.8 206.3 1 F 11 -0.237048160010067
f11_23047 136.8 239.2 1 F 11 -0.237048160010067
f11_23052 0 130 0 F 11 -0.426231018185454
f11_23052 51.8 181.8 0 F 11 -0.426231018185454
f11_23052 103.8 233.8 0 F 11 -0.426231018185454
f11_23052 155.7 285.7 0 F 11 -0.426231018185454
f11_23052 198.4 328.4 0 F 11 -0.426231018185454
f11_23054 0 27 0 F 11 -1.02943407864343
