indi test_time age state gender farm trBVs
f19_22413 194.6 267.1 0 F 19 -0.795245065336927
f19_22413 208 280.5 0 F 19 -0.795245065336927
f19_22413 220.9 293.4 0 F 19 -0.795245065336927
f19_22413 234 306.5 0 F 19 -0.795245065336927
f19_22413 246.9 319.4 0 F 19 -0.795245065336927
f19_22413 259.7 332.2 0 F 19 -0.795245065336927
f19_22419 0 94 0 F 19 -1.04776118639565
f19_22419 12.9 106.9 0 F 19 -1.04776118639565
f19_22419 26 120 0 F 19 -1.04776118639565
f19_22419 38.9 132.9 0 F 19 -1.04776118639565
f19_22419 51.9 145.9 0 F 19 -1.04776118639565
f19_22419 65 159 0 F 19 -1.04776118639565
f19_22419 75.5 169.5 0 F 19 -1.04776118639565
f19_22429 220.9 108.6 0 F 19 -0.411635741699045
f19_22429 234 121.7 0 F 19 -0.411635741699045
f19_22429 246.9 134.7 0 F 19 -0.411635741699045
f19_22429 259.7 147.5 0 F 19 -0.411635741699045
f19_22431 0 79.3 1 F 19 0.949506988832414
f19_22431 12.9 92.2 1 F 19 0.949506988832414
f19_22431 14.1 93.5 1 F 19 0.949506988832414
f19_22437 90.8 112.1 0 F 19 -0.580482654706354
f19_22437 103.7 125 0 F 19 -0.580482654706354
f19_22437 116.9 138.2 0 F 19 -0.580482654706354
f19_22437 130 151.3 0 F 19 -0.580482654706354
f19_22437 142.9 164.2 0 F 19 -0.580482654706354
f19_22437 156 177.3 0 F 19 -0.580482654706354
f19_22437 168.9 190.2 0 F 19 -0.580482654706354
f19_22437 181.9 203.2 0 F 19 -0.580482654706354
f19_22437 194.6 215.9 0 F 19 -0.580482654706354
f19_22437 208 229.3 0 F 19 -0.580482654706354
f19_22437 220.9 242.1 0 F 19 -0.580482654706354
f19_22437 234 255.3 0 F 19 -0.580482654706354
f19_22437 246.9 268.2 0 F 19 -0.580482654706354
f19_22437 259.7 281 0 F 19 -0.580482654706354
f19_22459 0 154.1 1 F 19 0.34217351789562
f19_22459 12.9 167.1 1 F 19 0.34217351789562
f19_22459 23.8 178 1 F 19 0.34217351789562
f19_22468 0 89.4 1 F 19 -0.307213551626035
f19_22468 12.9 102.3 1 F 19 -0.307213551626035
f19_22468 26 115.4 1 F 19 -0.307213551626035
f19_22468 38.9 128.4 1 F 19 -0.307213551626035
f19_22468 51.9 141.3 1 F 19 -0.307213551626035
f19_22468 65 154.4 1 F 19 -0.307213551626035
f19_22468 70.9 160.3 1 F 19 -0.307213551626035
f19_22477 0 135 0 F 19 -0.749685009004385
f19_22477 12.9 147.9 0 F 19 -0.749685009004385
f19_22477 26 161 0 F 19 -0.749685009004385
